0000205587|43| CPU-Load: last 18 samples:
0000205587|43| |   time   | percent |                progress bar              |
0000205587|43| | 02:29:35 |   18.1% | #######_________________________________ |
0000205587|43| | 02:29:45 |   18.0% | #######_________________________________ |
0000205587|43| | 02:29:55 |   18.3% | #######_________________________________ |
0000205587|43| | 02:30:05 |   18.4% | #######_________________________________ |
0000205587|43| | 02:30:15 |   18.4% | #######_________________________________ |
0000205587|43| | 02:30:25 |   18.4% | #######_________________________________ |
0000205587|43| | 02:30:35 |   18.4% | #######_________________________________ |
0000205587|43| | 02:30:45 |   18.5% | #######_________________________________ |
0000205587|43| | 02:30:55 |   18.6% | #######_________________________________ |
0000205587|43| | 02:31:05 |   18.6% | #######_________________________________ |
0000205587|43| | 02:31:15 |   18.6% | #######_________________________________ |
0000205587|43| | 02:31:25 |   18.4% | #######_________________________________ |
0000205587|43| | 02:31:35 |   18.6% | #######_________________________________ |
0000205587|43| | 02:31:45 |   19.0% | #######_________________________________ |
0000205588|43| | 02:31:55 |   18.6% | #######_________________________________ |
0000205588|43| | 02:32:05 |   18.5% | #######_________________________________ |
0000205588|43| | 02:32:15 |   18.5% | #######_________________________________ |
0000205588|43| | 02:32:25 |   18.5% | #######_________________________________ |
