0000072199|43| -----------------------------------------------------------------------------------------------------------------------
0000072199|43| | Prio | Name                                | Peak%  | Current  | Peak   | Total  | Stack-Usage Bar                  |
0000072199|43| -----------------------------------------------------------------------------------------------------------------------
0000072199|43| | 0    | System Timer Thread                 |  16.4% | 167      | 167    | 1020   | [####--------------------------] |
0000072199|43| | 1    | Software Watchdog Thread            |  65.8% | 1527     | 2691   | 4092   | [###################-----------] |
0000072199|43| | 2    | Init Thread                         |  30.5% | 1071     | 2499   | 8188   | [#########---------------------] |
0000072199|43| | 3    | LMP90080 Thread                     |  18.6% | 511      | 763    | 4092   | [#####-------------------------] |
0000072199|43| | 4    | ethernetif_input                    |  19.4% | 431      | 1587   | 8188   | [#####-------------------------] |
0000072199|43| | 5    | TCP/IP                              |   6.4% | 335      | 523    | 8188   | [#-----------------------------] |
0000072199|43| | 6    | TCP/IP Init Thread                  |  25.3% | 503      | 2071   | 8188   | [#######-----------------------] |
0000072199|43| | 8    | RockingEquipmentModule Thread       |  65.2% | 383      | 2667   | 4092   | [###################-----------] |
0000072199|43| | 9    | PumpingEquipmentModule Thread       |  15.7% | 383      | 2571   | 16380  | [####--------------------------] |
0000072199|43| | 10   | pHEquipmentModule Thread            |  54.4% | 1127     | 2227   | 4092   | [################--------------] |
0000072199|43| | 11   | DOEquipmentModule Thread            |  57.0% | 1319     | 2331   | 4092   | [#################-------------] |
0000072199|43| | 12   | GassingEquipmentModule Thread       |  58.9% | 383      | 2411   | 4092   | [#################-------------] |
0000072199|43| | 13   | TemperatureEquipmentModule Thread   |  73.3% | 383      | 2999   | 4092   | [#####################---------] |
0000072199|43| | 17   | CPV Thread                          |  14.1% | 383      | 575    | 4092   | [####--------------------------] |
0000072199|43| | 18   | OPC/UA Server Thread                |  69.8% | 695      | 11431  | 16380  | [####################----------] |
0000072199|43| | 20   | PumpInTransferPhase Thread          |  44.2% | 383      | 1807   | 4092   | [#############-----------------] |
0000072199|43| | 21   | PumpInFeedConstantPhase Thread      |  47.0% | 383      | 1923   | 4092   | [##############----------------] |
0000072199|43| | 22   | PumpInFeedExponentialPhase Thread   |  38.5% | 383      | 1575   | 4092   | [###########-------------------] |
0000072200|43| | 23   | PumpInFeedRampedPhase Thread        |  38.3% | 383      | 1567   | 4092   | [###########-------------------] |
0000072200|43| | 24   | PumpOutHarvestPhase Thread          |  44.2% | 383      | 1807   | 4092   | [#############-----------------] |
0000072200|43| | 25   | PumpOutPermeatePhase Thread         |  42.9% | 383      | 1755   | 4092   | [############------------------] |
0000072200|43| | 26   | PumpOutSamplePhase Thread           |  47.0% | 383      | 1923   | 4092   | [##############----------------] |
0000072200|43| | 27   | DePrimeTubingPhase Thread           |  13.2% | 247      | 539    | 4092   | [###---------------------------] |
0000072200|43| | 28   | ControlTemperaturePhase Thread      |  24.9% | 247      | 1019   | 4092   | [#######-----------------------] |
0000072200|43| | 29   | ControlGassingPhase Thread          |  39.5% | 383      | 1615   | 4092   | [###########-------------------] |
0000072200|43| | 30   | TestIntegrityPhase Thread           |  13.2% | 247      | 539    | 4092   | [###---------------------------] |
0000072200|43| | 31   | ControlRockingPhase Thread          |  39.7% | 383      | 1623   | 4092   | [###########-------------------] |
0000072200|43| | 32   | ControlPlatformPositionPhase Thread |  23.2% | 247      | 951    | 4092   | [######------------------------] |
0000072200|43| | 33   | ControlDissolvedOxygenPhase Thread  |  51.6% | 383      | 4223   | 8188   | [###############---------------] |
0000072200|43| | 34   | MonitorDissolvedOxygenPhase Thread  |  46.1% | 383      | 1887   | 4092   | [#############-----------------] |
0000072200|43| | 35   | ControlpHPhase Thread               |  70.0% | 383      | 2863   | 4092   | [####################----------] |
0000072200|43| | 36   | MonitorpHPhase Thread               |  66.8% | 383      | 2735   | 4092   | [####################----------] |
0000072200|43| | 37   | PerfuseConstantPhase Thread         |  46.8% | 383      | 1915   | 4092   | [##############----------------] |
0000072200|43| | 38   | PerfuseExponentialPhase Thread      |  44.9% | 383      | 1839   | 4092   | [#############-----------------] |
0000072200|43| | 39   | PerfuseRampedPhase Thread           |  44.9% | 383      | 1839   | 4092   | [#############-----------------] |
0000072200|43| | 40   | BenchmarkPhase Thread               |  82.3% | 383      | 6739   | 8188   | [########################------] |
0000072200|43| | 42   | DeviceConfiguration Thread          |  53.2% | 911      | 2175   | 4092   | [###############---------------] |
0000072200|43| | 43   | Utilities Commands Thread           |  11.6% | 703      | 711    | 6140   | [###---------------------------] |
0000072200|43| | 44   | Debug Read Thread                   |  28.9% | 1087     | 2363   | 8188   | [########----------------------] |
0000072200|43| | 45   | Debug Write Thread                  |  11.0% | 327      | 903    | 8188   | [###---------------------------] |
0000072200|43| | 46   | Hardware Watchdog Thread            |   4.1% | 167      | 167    | 4092   | [#-----------------------------] |
0000072200|43| | 47   | Idle Thread                         |  20.7% | 847      | 791    | 4092   | [######------------------------] |
0000072200|43| -----------------------------------------------------------------------------------------------------------------------
