0000579596|43| CPU-Load: last 18 samples:
0000579596|43| |   time   | percent |                progress bar              |
0000579596|43| | 02:50:29 |   23.7% | #########_______________________________ |
0000579596|43| | 02:50:39 |   23.6% | #########_______________________________ |
0000579596|43| | 02:50:49 |   19.6% | #######_________________________________ |
0000579596|43| | 02:50:59 |   21.6% | ########________________________________ |
0000579596|43| | 02:51:09 |   22.0% | ########________________________________ |
0000579596|43| | 02:51:19 |   21.1% | ########________________________________ |
0000579596|43| | 02:51:29 |   22.2% | ########________________________________ |
0000579596|43| | 02:51:39 |   22.2% | ########________________________________ |
0000579596|43| | 02:51:49 |   22.6% | #########_______________________________ |
0000579596|43| | 02:51:59 |   21.2% | ########________________________________ |
0000579596|43| | 02:52:09 |   19.8% | #######_________________________________ |
0000579596|43| | 02:52:19 |   22.7% | #########_______________________________ |
0000579596|43| | 02:52:29 |   23.2% | #########_______________________________ |
0000579596|43| | 02:52:39 |   23.6% | #########_______________________________ |
0000579596|43| | 02:52:49 |   23.3% | #########_______________________________ |
0000579596|43| | 02:52:59 |   23.5% | #########_______________________________ |
0000579597|43| | 02:53:09 |   23.9% | #########_______________________________ |
0000579597|43| | 02:53:19 |   19.7% | #######_________________________________ |
0000579597|43| Moving Average (3.0min): 22.2%
