0000570683|43| CPU-Load: last 18 samples:
0000570683|43| |   time   | percent |                progress bar              |
0000570683|43| | 02:35:35 |   29.2% | ###########_____________________________ |
0000570683|43| | 02:35:45 |   29.7% | ###########_____________________________ |
0000570683|43| | 02:35:55 |   28.7% | ###########_____________________________ |
0000570683|43| | 02:36:05 |   29.0% | ###########_____________________________ |
0000570683|43| | 02:36:15 |   28.0% | ###########_____________________________ |
0000570683|43| | 02:36:25 |   22.2% | ########________________________________ |
0000570683|43| | 02:36:35 |   20.2% | ########________________________________ |
0000570683|43| | 02:36:45 |   27.8% | ###########_____________________________ |
0000570683|43| | 02:36:55 |   34.2% | #############___________________________ |
0000570683|43| | 02:37:05 |   33.1% | #############___________________________ |
0000570683|43| | 02:37:15 |   37.5% | ##############__________________________ |
0000570683|43| | 02:37:25 |   33.0% | #############___________________________ |
0000570683|43| | 02:37:35 |   36.4% | ##############__________________________ |
0000570684|43| | 02:37:45 |   29.7% | ###########_____________________________ |
0000570684|43| | 02:37:55 |   19.9% | #######_________________________________ |
0000570684|43| | 02:38:05 |   19.9% | #######_________________________________ |
0000570684|43| | 02:38:15 |   19.8% | #######_________________________________ |
0000570684|43| | 02:38:25 |   19.8% | #######_________________________________ |
0000570684|43| Moving Average (3.0min): 27.7%
