0000206388|43| CPU-Load: last 18 samples:
0000206388|43| |   time   | percent |                progress bar              |
0000206388|43| | 02:29:35 |   18.5% | #######_________________________________ |
0000206388|43| | 02:29:45 |   18.6% | #######_________________________________ |
0000206388|43| | 02:29:55 |   18.7% | #######_________________________________ |
0000206388|43| | 02:30:05 |   18.8% | #######_________________________________ |
0000206388|43| | 02:30:15 |   19.0% | #######_________________________________ |
0000206388|43| | 02:30:25 |   18.8% | #######_________________________________ |
0000206388|43| | 02:30:35 |   18.9% | #######_________________________________ |
0000206388|43| | 02:30:45 |   19.0% | #######_________________________________ |
0000206388|43| | 02:30:55 |   18.9% | #######_________________________________ |
0000206388|43| | 02:31:05 |   19.0% | #######_________________________________ |
0000206388|43| | 02:31:15 |   19.1% | #######_________________________________ |
0000206388|43| | 02:31:25 |   18.9% | #######_________________________________ |
0000206388|43| | 02:31:35 |   19.0% | #######_________________________________ |
0000206389|43| | 02:31:45 |   19.1% | #######_________________________________ |
0000206389|43| | 02:31:55 |   18.9% | #######_________________________________ |
0000206389|43| | 02:32:05 |   19.1% | #######_________________________________ |
0000206389|43| | 02:32:15 |   19.0% | #######_________________________________ |
0000206389|43| | 02:32:25 |   19.0% | #######_________________________________ |
