0000581155|43| CPU-Load: last 18 samples:
0000581155|43| |   time   | percent |                progress bar              |
0000581155|43| | 02:50:26 |   11.1% | ####____________________________________ |
0000581155|43| | 02:50:36 |   11.1% | ####____________________________________ |
0000581155|43| | 02:50:46 |   10.4% | ####____________________________________ |
0000581155|43| | 02:50:56 |   10.5% | ####____________________________________ |
0000581155|43| | 02:51:06 |   11.6% | ####____________________________________ |
0000581155|43| | 02:51:16 |   10.2% | ####____________________________________ |
0000581155|43| | 02:51:26 |   11.1% | ####____________________________________ |
0000581155|43| | 02:51:36 |   10.8% | ####____________________________________ |
0000581155|43| | 02:51:46 |   10.8% | ####____________________________________ |
0000581155|43| | 02:51:56 |   10.9% | ####____________________________________ |
0000581155|43| | 02:52:06 |    9.6% | ###_____________________________________ |
0000581155|43| | 02:52:16 |   10.9% | ####____________________________________ |
0000581155|43| | 02:52:26 |   11.6% | ####____________________________________ |
0000581155|43| | 02:52:36 |   11.6% | ####____________________________________ |
0000581155|43| | 02:52:46 |   11.6% | ####____________________________________ |
0000581155|43| | 02:52:56 |   11.7% | ####____________________________________ |
0000581155|43| | 02:53:06 |   11.7% | ####____________________________________ |
0000581155|43| | 02:53:16 |   10.5% | ####____________________________________ |
0000581155|43| Moving Average (3.0min): 11.0%
