0000578621|43| CPU-Load: last 18 samples:
0000578621|43| |   time   | percent |                progress bar              |
0000578621|43| | 02:35:41 |   26.6% | ##########______________________________ |
0000578621|43| | 02:35:51 |   28.3% | ###########_____________________________ |
0000578621|43| | 02:36:01 |   26.0% | ##########______________________________ |
0000578621|43| | 02:36:11 |   23.8% | #########_______________________________ |
0000578621|43| | 02:36:21 |   21.4% | ########________________________________ |
0000578621|43| | 02:36:31 |   10.0% | ###_____________________________________ |
0000578621|43| | 02:36:41 |   14.0% | #####___________________________________ |
0000578621|43| | 02:36:51 |   32.1% | ############____________________________ |
0000578621|43| | 02:37:01 |   33.6% | #############___________________________ |
0000578621|43| | 02:37:11 |   48.0% | ###################_____________________ |
0000578621|43| | 02:37:21 |   32.2% | ############____________________________ |
0000578621|43| | 02:37:31 |   41.2% | ################________________________ |
0000578621|43| | 02:37:41 |   40.3% | ################________________________ |
0000578621|43| | 02:37:51 |   10.1% | ####____________________________________ |
0000578621|43| | 02:38:01 |   10.1% | ####____________________________________ |
0000578621|43| | 02:38:11 |   10.0% | ####____________________________________ |
0000578621|43| | 02:38:21 |   10.1% | ####____________________________________ |
0000578621|43| | 02:38:31 |   10.1% | ####____________________________________ |
