0001023406|43| CPU-Load: last 18 samples:
0001023406|43| |   time   | percent |                progress bar              |
0001023406|43| | 02:43:11 |    9.2% | ###_____________________________________ |
0001023406|43| | 02:43:21 |    9.2% | ###_____________________________________ |
0001023406|43| | 02:43:31 |    9.2% | ###_____________________________________ |
0001023406|43| | 02:43:41 |    9.2% | ###_____________________________________ |
0001023406|43| | 02:43:51 |    9.2% | ###_____________________________________ |
0001023406|43| | 02:44:01 |    9.2% | ###_____________________________________ |
0001023406|43| | 02:44:11 |    9.2% | ###_____________________________________ |
0001023406|43| | 02:44:21 |    9.2% | ###_____________________________________ |
0001023406|43| | 02:44:31 |    9.2% | ###_____________________________________ |
0001023406|43| | 02:44:41 |    9.2% | ###_____________________________________ |
0001023406|43| | 02:44:51 |    9.2% | ###_____________________________________ |
0001023406|43| | 02:45:01 |    9.2% | ###_____________________________________ |
0001023406|43| | 02:45:11 |    9.2% | ###_____________________________________ |
0001023406|43| | 02:45:21 |    9.3% | ###_____________________________________ |
0001023406|43| | 02:45:31 |    9.3% | ###_____________________________________ |
0001023406|43| | 02:45:41 |    9.3% | ###_____________________________________ |
0001023406|43| | 02:45:51 |    9.2% | ###_____________________________________ |
0001023407|43| | 02:46:01 |    9.2% | ###_____________________________________ |
